iter	Passed	Remaining
403	7040	10386
404	7057	10367
405	7073	10349
406	7089	10329
407	7106	10311
408	7122	10292
409	7138	10273
410	7180	10290
411	7213	10294
412	7231	10278
413	7251	10264
414	7271	10250
415	7305	10255
416	7338	10259
417	7372	10264
418	7390	10247
419	7407	10229
420	7425	10212
421	7443	10195
422	7460	10176
423	7477	10158
424	7494	10139
425	7510	10119
426	7526	10100
427	7543	10082
428	7560	10062
429	7576	10042
430	7592	10023
431	7609	10004
432	7625	9985
433	7642	9966
434	7658	9947
435	7675	9928
436	7692	9910
437	7708	9891
438	7724	9871
439	7741	9852
440	7757	9833
441	7774	9814
442	7791	9796
443	7807	9777
444	7823	9757
445	7839	9738
446	7855	9718
447	7872	9700
448	7889	9681
449	7905	9662
450	7922	9644
451	7939	9625
452	7955	9606
453	7971	9587
454	7988	9568
455	8004	9548
456	8020	9529
457	8036	9510
458	8052	9491
459	8069	9472
460	8085	9453
461	8101	9434
462	8118	9415
463	8135	9397
464	8151	9378
465	8167	9359
466	8184	9341
467	8201	9322
468	8217	9303
469	8233	9284
470	8249	9265
471	8266	9246
472	8282	9228
473	8298	9208
474	8315	9190
475	8331	9171
476	8348	9153
477	8364	9134
478	8381	9116
479	8397	9097
480	8414	9078
481	8429	9059
482	8445	9040
483	8462	9021
484	8478	9003
485	8496	8985
486	8514	8969
487	8534	8953
488	8551	8935
489	8568	8918
490	8586	8900
491	8604	8884
492	8622	8867
493	8640	8850
494	8657	8832
495	8675	8815
496	8693	8798
497	8711	8781
498	8729	8764
499	8747	8747
500	8765	8730
501	8783	8713
502	8799	8694
503	8815	8675
504	8831	8657
505	8848	8639
506	8865	8620
507	8882	8602
508	8898	8584
509	8915	8565
510	8931	8547
511	8948	8528
512	8964	8510
513	8981	8492
514	8998	8473
515	9014	8455
516	9030	8436
517	9046	8417
518	9063	8399
519	9079	8381
520	9095	8362
521	9112	8343
522	9128	8325
523	9144	8306
524	9160	8288
525	9177	8270
526	9194	8252
527	9210	8233
528	9226	8214
529	9242	8196
530	9259	8178
531	9276	8160
532	9292	8142
533	9309	8123
534	9325	8105
535	9341	8086
536	9358	8068
537	9375	8051
538	9392	8032
539	9408	8014
540	9424	7996
541	9443	7979
542	9460	7962
543	9478	7945
544	9495	7927
545	9512	7909
546	9529	7891
547	9547	7875
548	9565	7858
549	9583	7841
550	9600	7823
551	9617	7805
552	9634	7787
553	9650	7769
554	9667	7751
555	9684	7733
556	9700	7715
557	9717	7696
558	9733	7678
559	9749	7660
560	9765	7641
561	9782	7624
562	9799	7605
563	9815	7587
564	9831	7569
565	9848	7551
566	9865	7534
567	9882	7516
568	9899	7498
569	9915	7480
570	9932	7462
571	9950	7445
572	9966	7427
573	9983	7409
574	9999	7390
575	10015	7372
576	10031	7354
577	10048	7336
578	10065	7318
579	10081	7300
580	10097	7282
581	10114	7264
582	10130	7246
583	10146	7227
584	10163	7210
585	10180	7192
586	10196	7173
587	10213	7156
588	10229	7138
589	10246	7120
590	10262	7102
591	10280	7084
592	10296	7066
593	10313	7049
594	10329	7031
595	10345	7012
596	10362	6995
597	10379	6977
598	10396	6959
599	10412	6941
600	10428	6923
601	10445	6906
602	10462	6888
603	10478	6870
604	10495	6852
605	10511	6834
