iter	MultiClass
0	2.822948203
1	2.611946777
2	2.446849101
3	2.323860188
4	2.209041243
5	2.123032375
6	2.039364102
7	1.968840762
8	1.905218374
9	1.847343566
10	1.777380419
11	1.718846613
12	1.666302011
13	1.627377876
14	1.588658035
15	1.546855967
16	1.516163378
17	1.464664814
18	1.431479163
19	1.40824967
20	1.380716567
21	1.34887765
22	1.314930308
23	1.301141202
24	1.277362269
25	1.243812638
26	1.219318967
27	1.198001806
28	1.169851518
29	1.154897427
30	1.13170978
31	1.115175621
32	1.101347348
33	1.089577779
34	1.081692198
35	1.055774152
36	1.036108114
37	1.020334978
38	1.009708361
39	0.9956650069
40	0.9824572929
41	0.9599249897
42	0.9499487677
43	0.9383837692
44	0.9287752118
45	0.9153453257
46	0.9048284458
47	0.8918197836
48	0.8837849858
49	0.8723978416
50	0.8581603095
51	0.8475191835
52	0.8416004108
53	0.8316881734
54	0.8223518831
55	0.8092157129
56	0.8040102312
57	0.7893381549
58	0.7813612555
59	0.7720734193
60	0.7646772703
61	0.7576952609
62	0.7523545228
63	0.7442119961
64	0.7363353535
65	0.7289712225
66	0.721165845
67	0.7143045899
68	0.7096934043
69	0.7052536405
70	0.6992047131
71	0.6910079647
72	0.6856108148
73	0.6792984361
74	0.6708249023
75	0.6623284612
76	0.654607077
77	0.6484859406
78	0.6407010089
79	0.6352705825
80	0.6292004754
81	0.6253472832
82	0.6198024227
83	0.6144945414
84	0.6088312981
85	0.604030004
86	0.6006859937
87	0.5965099705
88	0.5935494198
89	0.5893658452
90	0.5844834212
91	0.5807282279
92	0.5756262087
93	0.5717731004
94	0.5681981019
95	0.5610177327
96	0.5584596223
97	0.5537138702
98	0.5503167011
99	0.5483564014
100	0.5426955014
101	0.5346859807
102	0.5286378113
103	0.5257303282
104	0.521645031
105	0.5193721007
106	0.5153495615
107	0.5117913695
108	0.5080737385
109	0.5032643999
110	0.4990019347
111	0.4935187649
112	0.4894083656
113	0.4853352513
114	0.4803403748
115	0.4772393771
116	0.4746445286
117	0.4707756663
118	0.4689685737
119	0.4649129736
120	0.4628588028
121	0.4588934451
122	0.4543065406
123	0.4510210871
124	0.4482640743
125	0.4459517199
126	0.4442062839
127	0.4416041053
128	0.4372423189
129	0.4352464521
130	0.4336794753
131	0.4302838468
132	0.4297665207
133	0.428112412
134	0.4252066543
135	0.4233672144
136	0.4212161029
137	0.4200150188
138	0.4176885189
139	0.4146254987
140	0.411980208
141	0.4098419981
142	0.4058819433
143	0.4034766318
144	0.3994962988
145	0.398118564
146	0.3952396209
147	0.3929343159
148	0.3906382738
149	0.3871206949
150	0.3859937371
151	0.3840729245
152	0.38296289
153	0.3806885704
154	0.3780019833
155	0.3756929396
156	0.3746851602
157	0.3729105161
158	0.3698796361
159	0.3663469435
160	0.3649745902
161	0.362335683
162	0.3606986145
163	0.3593334233
164	0.3572105127
165	0.3542945018
166	0.3534982836
167	0.3509916066
168	0.3497927534
169	0.3476713802
170	0.3455521625
171	0.3445158003
172	0.3434953269
173	0.3421122097
174	0.3402004641
175	0.3379401458
176	0.3358379397
177	0.33387755
178	0.3325159877
179	0.3314655021
180	0.3295908729
181	0.3282391179
182	0.3276383719
183	0.3259738185
184	0.3250563785
185	0.3241837319
186	0.3220659685
187	0.3203193055
188	0.3194314654
189	0.3184553764
190	0.3165424368
191	0.3152256091
192	0.3133041755
193	0.3114259535
194	0.3106910612
195	0.3089599693
196	0.3079866138
197	0.3070959259
198	0.3059731945
199	0.3040197543
200	0.3013550066
201	0.2997387851
202	0.2979944409
203	0.296686761
204	0.2959303936
205	0.2945402468
206	0.2928492857
207	0.2915667945
208	0.2905682127
209	0.2893741502
210	0.2885267994
211	0.2873363463
212	0.2855167375
213	0.2829996906
214	0.281934173
215	0.2805491271
216	0.2787876108
217	0.2777905682
218	0.2770382489
219	0.2760175064
220	0.275037653
221	0.2729065063
222	0.2719654621
223	0.2703855546
224	0.2692214843
225	0.2685437473
226	0.2672178242
227	0.2661941792
228	0.2655007729
229	0.2646578989
230	0.2632416727
231	0.2618783613
232	0.2610246194
233	0.2601658107
234	0.2593844231
235	0.2587369335
236	0.2571511001
237	0.2555367087
238	0.2545387745
239	0.2539760171
240	0.2528238254
241	0.2513438607
242	0.2509670761
243	0.2498624556
244	0.2491158099
245	0.2482835613
246	0.2474711914
247	0.246768228
248	0.246722646
249	0.2462551093
250	0.2457862867
251	0.2450785117
252	0.2442893521
253	0.2431145806
254	0.2411318926
255	0.2404153468
256	0.2396859883
257	0.2387141673
258	0.2376591018
259	0.2367485803
260	0.2359982595
261	0.2352640867
262	0.2345283092
263	0.2334127025
264	0.2316757284
265	0.230609788
266	0.2294691237
267	0.2286838749
268	0.2281743921
269	0.2278820511
270	0.2267139253
271	0.226175037
272	0.2246164172
273	0.2236660622
274	0.2225581287
275	0.2216728023
276	0.2206491494
277	0.219681517
278	0.2191453304
279	0.218058595
280	0.2173177555
281	0.2166495367
282	0.2162081918
283	0.2154329945
284	0.2148963005
285	0.2138309679
286	0.2129288563
287	0.2121303733
288	0.2114506709
289	0.2103979443
290	0.2099358117
291	0.2090788045
292	0.2078595414
293	0.2075531681
294	0.2072660497
295	0.2064188741
296	0.2059014706
297	0.2051882141
298	0.204094048
299	0.2037542834
300	0.2019686437
301	0.2011689019
302	0.2004460453
303	0.1999418767
304	0.1996432207
305	0.1988853685
306	0.1983783432
307	0.1976492958
308	0.1967828303
309	0.1954893246
310	0.194309284
311	0.1936687269
312	0.1929580898
313	0.1926595079
314	0.1917263681
315	0.1910917439
316	0.1907460514
317	0.1904304132
318	0.189543349
319	0.1887576902
320	0.1881427352
321	0.1873774119
322	0.1869345563
323	0.1864490427
324	0.1861392569
325	0.1856946466
326	0.1853271128
327	0.1847398318
328	0.184423016
329	0.1837499387
330	0.1828079646
331	0.1823053596
332	0.1814781008
333	0.1810895454
334	0.1808371499
335	0.1805120493
336	0.1799363697
337	0.1792022742
338	0.1787763092
339	0.1776827874
340	0.1773626883
341	0.1770863579
342	0.1762884861
343	0.1757561299
344	0.1748249961
345	0.174300831
346	0.1739123069
347	0.1735381603
348	0.1732447136
349	0.1723529794
350	0.172041028
351	0.1715612755
352	0.1711409316
353	0.1705893069
354	0.1703107261
355	0.1694417835
356	0.1689050632
357	0.1682555842
358	0.1680886041
359	0.1676845363
360	0.1674567617
361	0.1671346252
362	0.1665482234
363	0.1661414726
364	0.1656630543
365	0.1651530712
366	0.164870842
367	0.1644209819
368	0.164073527
369	0.1635147798
370	0.1632764033
371	0.1628956742
372	0.1625758925
373	0.1621639664
374	0.1614292365
375	0.1608639834
376	0.1600920376
377	0.1594096166
378	0.1590965702
379	0.1589152353
380	0.1585084685
381	0.1581972453
382	0.157670138
383	0.157310412
384	0.1571349152
385	0.1561380681
386	0.1558629392
387	0.155612877
388	0.1548139701
389	0.1543801687
390	0.1537737156
391	0.1535653189
392	0.1533380717
393	0.1529719461
394	0.1525634252
395	0.1518684007
396	0.1517678776
397	0.1514120659
398	0.1506631021
399	0.1503674605
400	0.1498954721
401	0.1496346042
402	0.1492701098
403	0.148653792
404	0.1479824286
405	0.1475746635
406	0.1471131065
407	0.1469024535
408	0.1468195616
409	0.146661226
410	0.1465162703
411	0.1459392349
412	0.1457167888
413	0.145303181
414	0.1447007924
415	0.1444560198
416	0.1440263568
417	0.1434776736
418	0.1426896439
419	0.142380275
420	0.1421576971
421	0.1417657284
422	0.1414370688
423	0.1412648991
424	0.140662488
425	0.1399816658
426	0.1397777181
427	0.1393878737
428	0.1387612863
429	0.138138886
430	0.1378681393
431	0.1375094375
432	0.1373869298
433	0.1371597655
434	0.1369529407
435	0.1365713697
436	0.1361585396
437	0.1358690857
438	0.1356798734
439	0.1351754367
440	0.1350853666
441	0.1349221563
442	0.1347561929
443	0.1343571874
444	0.1340384966
445	0.1337247705
446	0.1334724934
447	0.1332424453
448	0.1331141421
449	0.1326874996
450	0.1321984547
451	0.1317206586
452	0.1311784474
453	0.1307934389
454	0.1302092278
455	0.1301161236
456	0.1299214305
457	0.1294662629
458	0.1293991557
459	0.1289122126
460	0.1285479629
461	0.128366112
462	0.128181123
463	0.1280938108
464	0.1279227478
465	0.1277147297
466	0.1271023174
467	0.1269427539
468	0.1267270551
469	0.126253179
470	0.126017772
471	0.1255721496
472	0.1253669266
473	0.1250777676
474	0.1248440269
475	0.124462914
476	0.1239003945
477	0.1235707494
478	0.12336393
479	0.123042976
480	0.1223279831
481	0.1219682764
482	0.1217828154
483	0.1214991899
484	0.1211590303
485	0.1206863945
486	0.1205563952
487	0.1204102268
488	0.1202820312
489	0.1200088418
490	0.1199029704
491	0.1193797435
492	0.1193058537
493	0.1189925867
494	0.1186852991
495	0.1185273475
496	0.1180366117
497	0.1177100004
498	0.1172292494
499	0.1168671567
500	0.1165854391
501	0.1161297184
502	0.1158529705
503	0.1156944301
504	0.1153238036
505	0.1151793239
506	0.114954712
507	0.1147551629
508	0.1145427157
509	0.1140681892
510	0.1138895468
511	0.1137689299
512	0.1135104258
513	0.1130995168
514	0.1129364417
515	0.1126252537
516	0.1125171842
517	0.1124453149
518	0.112377947
519	0.1122191866
520	0.1118059165
521	0.1115236958
522	0.1110783427
523	0.1109604809
524	0.1108514263
525	0.1106707491
526	0.1103764177
527	0.1100153207
528	0.1097529494
529	0.1096432852
530	0.1094317429
531	0.1090306029
532	0.1089300294
533	0.108460328
534	0.1080255649
535	0.107937402
536	0.1078561941
537	0.1076391571
538	0.1073207083
539	0.1071167038
540	0.1066576913
541	0.1064587786
542	0.1061569058
543	0.1060835795
544	0.1056432816
545	0.1054619521
546	0.1051242599
547	0.1050456339
548	0.1046354731
549	0.1043461381
550	0.1042357067
551	0.1040692471
552	0.1039383908
553	0.1034722767
554	0.1033243334
555	0.1030526093
556	0.1029701956
557	0.102869045
558	0.1027813591
559	0.1025880609
560	0.1022451447
561	0.1020907828
562	0.1019295134
563	0.1016981793
564	0.1015437134
565	0.1014655749
566	0.1013155382
567	0.1010768725
568	0.1010214934
569	0.100711754
570	0.1004478517
571	0.1000205406
572	0.09973184128
573	0.09959546424
574	0.09921089178
575	0.09900083106
576	0.09865509045
577	0.09836325536
578	0.09826650144
579	0.09807466446
580	0.09779518408
581	0.09741656089
582	0.09733199118
583	0.09720695913
584	0.09709753764
585	0.09675120887
586	0.09643630373
587	0.09615739469
588	0.09596289582
589	0.09589208175
590	0.09561130326
591	0.09529848201
592	0.09506224211
593	0.09487990397
594	0.09456762823
595	0.09452426072
596	0.09429466679
597	0.09393074556
598	0.09363861653
599	0.09347596354
600	0.09327688262
601	0.0931503483
602	0.09292688819
603	0.0928101921
604	0.09277347193
605	0.09269439019
606	0.09264591813
607	0.09258001486
608	0.09252087408
609	0.09235151633
610	0.09212157311
611	0.09181119044
612	0.09154796934
613	0.09151402948
614	0.09129287504
615	0.09117564991
616	0.09112899616
617	0.09095984423
618	0.09083629612
619	0.09071584456
620	0.09066421626
621	0.09057088767
622	0.09053661884
623	0.09031062072
624	0.09017820069
625	0.09003871664
626	0.08989550189
627	0.08984061006
628	0.0897542303
629	0.08957599642
630	0.08946192273
631	0.08934750896
632	0.08931383702
633	0.08907791998
634	0.08891349453
635	0.08885789663
636	0.08852325675
637	0.08844139739
638	0.08836343713
639	0.08818469862
640	0.0878279588
641	0.08755017846
642	0.08731876877
643	0.08709020721
644	0.08689879634
645	0.08684120887
646	0.08647557429
647	0.08631038777
648	0.08591670921
649	0.08574364223
650	0.08563762303
651	0.0852339076
652	0.08505416739
653	0.08483127583
654	0.08456327884
655	0.08441595329
656	0.08427399923
657	0.08406730856
658	0.0839745918
659	0.08389558086
660	0.08381176458
661	0.08359343083
662	0.08345083183
663	0.08335728515
664	0.08298417819
665	0.08282828314
666	0.08276232128
667	0.08263682504
668	0.08248632453
669	0.08221960476
670	0.08194412071
671	0.08155639834
672	0.08137933156
673	0.08096778508
674	0.08067726144
675	0.08045860873
676	0.08022855002
677	0.08015695424
678	0.07993203207
679	0.07982767062
680	0.07969348404
681	0.07951576736
682	0.07940847948
683	0.07931806762
684	0.07924414516
685	0.07914033012
686	0.07897245584
687	0.07887267118
688	0.07879303251
689	0.07875380715
690	0.07857176035
691	0.07835829242
692	0.07827201893
693	0.07801574225
694	0.07792257914
695	0.07781430927
696	0.07777342058
